sd_over_Delta,draw,focal_m_min,focal_m_end,U_undershoot,eps_at_min,T4_defined,U_at_frozen_lattice,db_m_min,db_m_end,db_offset_post,db_shape_post,db_rms_post,db_maxabs,db_corr_post,db_monotonicity_violation
2,7,-0.44828974,-0.40786864,0.017508828,5.3662686,0,0.015779054,-0.19693256,-0.19693256,-0.21371546,0.014656778,0.21421746,0.32500428,0.96772651,1.224576e-13
2.5,0,-0.41455631,-0.40792162,-0.016224599,19.831805,0,-0.016641017,-0.1969421,-0.1969421,-0.21359542,0.011706958,0.213916,0.27982209,0.98224211,1.7197355e-13
2.5,1,-0.41728132,-0.40790768,-0.013499598,28.269666,0,-0.017811004,-0.19694204,-0.19694204,-0.21350192,0.012979369,0.21389608,0.31061689,0.98152687,1.5687451e-13
2.5,2,-0.42130506,-0.40789603,-0.0094758506,14.087549,0,-0.0094693954,-0.19693814,-0.19693814,-0.21346263,0.012747334,0.21384291,0.28471974,0.98245776,3.5949022e-13
2.5,3,-0.43060166,-0.40785281,-0.00017925101,10.533508,0,-0.010672705,-0.19694075,-0.19694075,-0.21356497,0.012095815,0.21390724,0.29311679,0.97642593,1.7652546e-13
2.5,4,-0.42045796,-0.40788715,-0.010322953,18.286433,0,-0.011719954,-0.19693707,-0.19693707,-0.21356306,0.012037479,0.21390204,0.28835062,0.98093989,1.5254464e-13
2.5,5,-0.42096856,-0.40785398,-0.0098123549,9.900119,0,-0.010415032,-0.1969394,-0.1969394,-0.2136132,0.012428182,0.21397443,0.29456983,0.97445,2.0794477e-13
2.5,6,-0.42055559,-0.40798632,-0.010225328,16.188055,0,-0.018659369,-0.19694074,-0.19694074,-0.21358848,0.010997802,0.21387143,0.29040902,0.98484419,1.3600232e-13
2.5,7,-0.42028523,-0.40796504,-0.010495681,6.0492237,0,-0.014224887,-0.1969356,-0.1969356,-0.21371545,0.01142444,0.21402059,0.2940348,0.98013201,1.2378987e-13
3,0,-0.41588348,-0.40782019,-0.014897433,14.266253,0,-0.01683379,-0.19694654,-0.19694654,-0.21346253,0.010105343,0.21370159,0.27034956,0.98729998,1.8829382e-13
3,1,-0.42115474,-0.40775637,-0.0096261708,18.312913,0,-0.013869126,-0.19694647,-0.19694647,-0.213368,0.011437539,0.21367433,0.3142589,0.98661012,1.8207658e-13
3,2,-0.42105033,-0.40789159,-0.0097305794,11.179493,0,-0.011374649,-0.19694183,-0.19694183,-0.21343227,0.010780618,0.21370436,0.27145434,0.98747054,4.3931525e-13
3,3,-0.42456132,-0.40789253,-0.006219598,10.530788,0,-0.017192705,-0.19694496,-0.19694496,-0.21352162,0.010102587,0.21376049,0.27694259,0.9836832,2.1949109e-13
3,4,-0.42561979,-0.40785349,-0.0051611241,8.333017,0,-0.0060196574,-0.19694045,-0.19694045,-0.21352612,0.010391536,0.21377883,0.27636479,0.98629891,1.7730262e-13
3,5,-0.42446104,-0.40782457,-0.0063198718,19.419618,0,-0.011477784,-0.19694332,-0.19694332,-0.21349902,0.010526215,0.21375835,0.294492,0.9820854,2.7144953e-13
3,6,-0.42341485,-0.40789875,-0.007366062,13.933395,0,-0.0075548743,-0.19694494,-0.19694494,-0.21341203,0.0098668866,0.21364,0.26757644,0.98923611,1.8551827e-13
3,7,-0.41623786,-0.40782552,-0.014543052,28.033063,0,-0.020082811,-0.1969387,-0.1969387,-0.21360663,0.0096711117,0.21382544,0.26857616,0.98637838,1.3511414e-13
